"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","nyrs_since_last_renovation","zipcode","sqft_living15","sqft_lot15","daten"
"19981",415000,3,2.75,2600,64626,1.5,0,0,3,8,2600,0,2009,6,"98014",1740,64626,56
"21387",320000,3,1.75,1790,66250,1.5,0,0,3,7,1790,0,2003,12,"98014",1440,59346,350
"6662",275000,3,1.5,1180,10277,1,0,0,3,6,1180,0,1983,32,"98045",1680,11104,0
"15416",1650000,3,2.25,2750,6203,1,1,4,5,7,1620,1130,1959,56,"98074",2570,7009,204
"17875",334200,3,1.75,1410,45302,1,0,0,3,7,1410,0,1980,35,"98019",2240,49222,325
"19193",328000,3,1.75,1440,45302,2,0,0,3,7,1440,0,1977,38,"98019",2080,49658,38
"12884",472500,4,1.75,1440,8536,1,0,0,4,7,1440,0,1961,54,"98033",1720,9748,320
"10451",402500,3,1.75,1480,2211,2,0,0,3,7,1480,0,1995,20,"98103",1480,2197,74
"1038",415000,3,1.75,1480,2200,2,0,0,3,7,1480,0,1995,20,"98103",1360,2190,346
"16629",187000,2,1,840,11600,1,0,0,3,6,840,0,1952,63,"98168",1610,9120,68
"7199",410000,3,2,1400,45738,2,0,0,4,8,1400,0,1981,34,"98070",2390,56628,56
"12035",430000,2,2,1440,213008,2,0,0,4,7,1440,0,1990,25,"98070",1630,161172,74
"3733",360000,3,1.25,2350,6200,1,0,0,4,7,1320,1030,1966,49,"98007",2140,9543,230
"8172",285950,2,1,1170,6000,1,0,0,3,6,1170,0,1948,67,"98168",1130,7500,346
"17605",157000,3,1,1080,6250,1,0,0,2,5,1080,0,1950,65,"98168",1070,6250,313
"10771",92000,2,1,760,5500,1.5,0,0,3,5,760,0,1947,68,"98168",1040,5515,45
"3908",220000,2,1,840,9000,1,0,0,5,6,840,0,1951,64,"98168",1350,10400,339
"12890",235000,3,1,1020,6173,1,0,0,3,6,780,240,1948,67,"98168",1330,5909,133
"2732",283000,3,1,1740,5247,1,0,0,3,7,1270,470,1947,68,"98168",1070,5636,152
"1886",340000,3,1,1710,10190,1,0,0,3,6,1310,400,1949,66,"98168",1200,6251,207
"7736",324950,2,1,1150,9186,1,0,0,3,7,1150,0,1946,69,"98168",1390,10690,158
"11275",205000,2,1,1060,8000,1,0,0,3,6,1060,0,1941,74,"98168",1390,8000,74
"16726",280000,3,1,1200,6250,1,0,0,3,6,920,280,1943,72,"98168",1280,9375,25
"19579",270950,2,1,780,6250,1,0,0,3,6,780,0,1942,73,"98168",1280,7100,363
"7033",261000,2,1,970,12500,1,0,0,3,6,970,0,1941,74,"98168",1280,6250,368
"8504",175000,4,1,1210,6250,1,0,0,3,7,1210,0,1962,53,"98168",1210,8291,144
"16279",209950,2,1,1050,6250,1,0,0,4,6,840,210,1943,72,"98168",1310,12500,334
"8194",339950,3,1.75,1330,12092,1,0,0,4,6,720,610,1981,34,"98168",1770,11770,340
"13795",350000,2,2.75,2820,11770,2,0,0,3,7,1630,1190,1947,68,"98168",1690,12500,335
"13306",270000,2,1,2060,8398,1,0,0,3,7,1260,800,1962,53,"98168",1690,13495,54
"14693",369900,3,1.75,2150,19127,1,0,0,3,7,1650,500,1978,37,"98168",1550,15000,335
"8658",286000,3,1.75,1770,9000,1,0,0,3,7,1090,680,1954,61,"98168",1520,21141,91
"12947",244500,2,1.75,1300,14500,1,0,0,3,6,650,650,1939,76,"98168",1370,12986,145
"3517",325000,4,1.75,1950,12500,1,0,0,3,7,1330,620,1963,52,"98168",1760,11520,90
"2393",3e+05,3,2.5,1830,12750,2,0,0,3,7,1830,0,1991,24,"98168",1610,10000,105
"9737",292000,3,1,1730,21183,1,0,0,3,7,1030,700,1955,60,"98168",1610,13000,329
"4181",235000,3,1,1310,15022,1,0,0,3,7,1310,0,1934,31,"98168",1530,13154,304
"3249",308000,3,1,1640,18144,1.5,0,0,3,6,1640,0,1942,73,"98168",1500,9065,54
"16723",340000,4,2.5,2020,32710,1,0,0,3,7,1070,950,1941,74,"98168",1340,17700,182
"6696",490000,4,1.75,1870,9500,1,0,0,4,7,1090,780,1962,53,"98033",2010,10000,221
"6814",203000,3,1.5,1200,9120,1,0,0,3,7,1000,200,1963,52,"98055",1640,9200,312
"3682",275000,3,1.75,1890,5000,1,0,0,3,7,1890,0,2003,12,"98092",2960,5421,369
"4424",275000,3,2.5,3020,5868,2,0,0,3,7,3020,0,2003,12,"98092",2710,5470,91
"10186",275000,3,2.5,2710,5733,2,0,0,3,7,2710,0,2003,12,"98092",2720,5733,283
"16596",289950,3,2.5,2070,6145,2,0,0,3,7,2070,0,2003,12,"98092",2070,5297,174
"7356",315000,5,3,2110,10766,2,0,0,3,7,2110,0,2005,10,"98030",1460,10400,306
"5576",245000,3,1.75,2350,12720,1,0,0,4,7,1180,1170,1964,51,"98030",1680,10400,278
"349",206600,3,2,1390,13464,1,0,0,4,7,1390,0,1987,28,"98030",1720,12080,172
"4154",435000,4,2.5,2650,9065,2,0,0,3,7,2650,0,2000,15,"98019",2590,13218,259
"19357",454000,4,2.5,3040,12522,2,0,0,3,7,3040,0,2000,15,"98019",2490,9742,285
"11238",468000,4,2.5,3040,20682,2,0,0,3,7,3040,0,2000,15,"98019",2670,9742,321
"11049",450000,4,2.5,2520,8515,2,0,0,3,7,2520,0,1999,16,"98019",2130,6930,25
"383",389000,4,2.25,2130,5337,2,0,0,3,7,2130,0,2001,14,"98019",2300,6930,315
"6327",415000,4,2.5,2230,5743,2,0,0,3,7,2230,0,2002,13,"98019",2490,6300,101
"15584",436000,4,2.5,2495,5751,2,0,0,3,7,2495,0,2002,13,"98019",2490,6300,214
"3431",414000,4,2.5,2120,6497,2,0,0,3,7,2120,0,2003,12,"98019",2230,6300,368
"1823",453250,4,2.5,2260,6300,2,0,0,3,7,2260,0,2001,14,"98019",2300,6300,368
"15152",872500,3,2.5,2040,6000,1,0,0,3,8,1840,200,1951,64,"98109",1820,4920,116
"3570",494400,2,1.75,1560,1750,1,0,0,4,6,780,780,1904,111,"98109",1850,3600,20
"3614",563000,6,1,1730,2760,1.5,0,0,3,7,1250,480,1918,97,"98109",1630,3200,249
"15010",1105000,4,1.5,2740,4000,2,0,0,5,9,1930,810,1905,110,"98109",1680,4000,11
"1066",550000,3,1,1520,2500,1.5,0,0,3,8,1520,0,1912,103,"98109",1880,3600,266
"9370",925000,3,1,1630,3200,1.5,0,0,4,8,1630,0,1912,103,"98109",1710,3600,143
"9871",885000,3,2,2590,3750,1.5,0,0,5,7,1790,800,1904,111,"98109",2440,4000,139
"12651",1850000,4,3.25,3480,6000,3,0,0,3,8,3480,0,2014,1,"98109",2200,4080,187
"147",890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,110,"98109",2200,4000,54
"7544",625000,2,1,1100,4160,1,0,0,3,7,1100,0,1919,96,"98109",1900,4000,112
"19100",707000,3,1.5,1980,4000,2,0,0,3,8,1980,0,1919,96,"98109",1980,3600,88
"13077",931000,3,2.5,2460,6600,1.5,0,0,4,8,1560,900,1929,86,"98109",2090,3400,243
"10801",825000,2,2,1830,3600,1,0,0,4,7,1230,600,1926,89,"98109",2020,3600,132
"4003",762000,5,2,3370,5000,1.5,0,0,4,7,2140,1230,1907,108,"98109",1920,3200,17
"18924",1190000,4,3,2240,6000,1.5,0,0,4,8,1270,970,1914,101,"98109",2240,4250,17
"13426",1169000,5,2.5,2810,6000,2.5,0,0,3,9,2810,0,1907,108,"98109",2240,4800,180
"7763",658000,3,1.5,1660,3190,1.5,0,0,3,7,1660,0,1919,96,"98109",2200,3240,258
"1149",725000,3,2.5,1940,4000,1.5,0,0,5,7,1940,0,1906,109,"98109",1440,4000,98
"3912",716000,3,1.5,1140,4800,1.5,0,0,3,7,1140,0,1915,100,"98109",1260,4800,329
"10886",485000,4,1,1150,2560,1.5,0,0,3,7,1150,0,1909,106,"98109",1890,3000,77
"10161",660000,3,2,1140,6000,1,0,0,3,7,1140,0,1909,106,"98109",1260,4000,346
"3688",1440000,4,1.75,2410,6000,1.5,0,0,3,8,2410,0,1911,104,"98109",1280,4000,165
"15617",797000,3,2.5,1370,1911,2,0,0,3,9,1370,0,1907,4,"98109",1630,2090,69
"569",610000,3,1,1180,3400,1.5,0,0,3,8,1180,0,1907,108,"98109",1440,3400,173
"9205",1065000,3,2.5,2130,3545,3,0,0,5,9,2130,0,1990,25,"98109",1970,3464,334
"15236",935000,3,2,1720,2000,1.5,0,0,3,8,1060,660,1910,15,"98109",1590,4000,341
"9110",570000,2,1,1100,4000,1,0,0,3,7,1100,0,1906,109,"98109",1590,4000,230
"15212",915000,3,2.25,2390,2750,2,0,0,5,8,1580,810,1925,90,"98109",2200,5160,312
"17366",826000,3,1.5,1890,5000,1.5,0,0,3,9,1890,0,1929,86,"98109",2560,5000,243
"11728",1280000,4,3,3260,4500,2,0,0,3,9,2300,960,1930,1,"98109",2410,4995,146
"17331",460000,3,1,1130,7000,1,0,0,3,6,830,300,1944,71,"98125",1050,7000,294
"2799",310000,4,2.5,1930,7014,2,0,0,3,8,1930,0,1994,21,"98042",1990,7920,216
"18471",174500,2,2.5,1240,2689,2,0,0,3,7,1240,0,1986,29,"98003",1430,3609,32
"3276",153503,2,2.5,1240,3649,2,0,0,3,7,1240,0,1986,29,"98003",1400,3721,160
"10353",401000,3,3.25,1770,1977,3,0,0,3,8,1770,0,2001,14,"98125",1860,2210,117
"18542",387500,3,3.25,1860,2218,3,0,0,3,8,1860,0,2001,14,"98125",1860,2218,165
"12920",428000,3,1.75,1580,507038,1,0,2,4,7,1580,0,1985,30,"98022",2040,210394,109
"13222",570000,4,3,2710,217800,2.5,0,0,3,9,2710,0,2006,9,"98022",2710,217800,132
"18228",525000,3,2.25,2040,435600,2,0,2,4,7,2040,0,1983,32,"98022",2020,223027,234
"17797",389000,4,2.5,2420,9147,2,0,0,3,10,2420,0,1998,17,"98003",1400,7200,179
"18860",335000,4,1.75,2000,10890,1,0,0,4,7,1390,610,1961,54,"98003",1520,9250,160
"9396",285000,3,1.5,1380,12196,1,0,0,4,7,1380,0,1967,48,"98003",1600,10720,137
"19275",685000,3,2.5,3290,90796,2,0,0,4,10,3290,0,1992,23,"98042",2700,55023,287
"20204",780000,4,3.5,3720,213073,1,0,2,3,10,3720,0,2007,8,"98010",2190,59241,168
"13478",849900,2,2,2280,641203,2,0,0,3,9,2280,0,1990,25,"98070",2030,224334,42
"13041",777700,3,2.5,2260,251460,1.5,0,0,3,10,2260,0,1995,20,"98070",1610,244372,364
"50",1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,62,"98070",2680,72513,313
"7517",645000,3,2.5,2120,196995,1,0,1,3,9,2120,0,1997,18,"98070",1304,92423,329
"9260",485000,3,2,2410,50654,1.5,0,0,3,7,2410,0,1995,20,"98070",1900,36300,293
"8915",290000,6,4.5,2810,11214,1,0,0,3,8,2010,800,1958,57,"98031",1940,8349,90
"17624",292500,2,1,880,17743,1,0,0,4,5,880,0,1951,64,"98031",1217,13000,327
"14348",319000,4,1,1730,36356,1.5,0,0,4,6,1730,0,1954,61,"98031",1380,14060,146
"13217",579000,3,2.75,2660,223027,1,0,0,3,8,1330,1330,1962,0,"98038",1560,222591,291
"19278",365000,4,2.5,1620,219542,2,0,0,3,7,1620,0,1980,35,"98038",2240,217800,297
"3709",1350000,4,4.75,5230,89298,2.5,0,0,3,11,5230,0,2002,13,"98038",4110,107153,356
"18912",920000,3,3.25,3660,66211,2,0,0,3,10,3660,0,2003,12,"98038",3660,107153,88
"444",350000,3,1.5,1250,219978,1,0,0,4,6,1250,0,1980,35,"98038",1930,210394,355
"13480",920000,3,2.25,3650,5353,2,0,4,4,7,2200,1450,1947,68,"98144",1950,4970,87
"16417",321000,4,1,1300,18836,1,0,0,4,7,1300,0,1941,74,"98056",1540,8498,164
"10018",326000,6,3,1880,7200,1,0,0,4,7,1880,0,1966,49,"98056",1540,13022,18
"8629",833450,5,4,4460,269345,2,0,4,3,9,3330,1130,1996,19,"98027",2670,115434,327
"2661",523000,4,2.5,2660,65340,2,0,0,3,8,2660,0,1988,27,"98027",2850,74052,235
"13870",1886700,5,3.5,4180,17935,2,0,0,3,11,4180,0,2004,11,"98004",2950,13760,28
"2310",993000,4,2,2850,14810,2,0,0,5,8,2490,360,1954,61,"98004",2430,10454,123
"4677",949880,4,2.25,2290,10687,2,0,0,3,9,2290,0,1978,37,"98004",2290,10300,25
"4368",8e+05,4,1.75,2150,9148,1,0,0,4,7,2150,0,1955,60,"98004",2370,9148,199
"6983",1155000,3,1.75,1640,10464,1,0,2,4,8,1640,0,1968,47,"98004",2630,18872,152
"2439",985000,3,3.5,2600,11920,2,0,0,5,8,2600,0,1969,46,"98004",2430,10050,227
"12397",943500,3,2.25,2370,10890,2,0,0,4,7,2370,0,1980,35,"98004",2370,9514,179
"14233",2200000,5,4,5840,11652,2,0,1,3,11,4410,1430,1988,27,"98004",3120,13639,251
"6336",1965220,4,3.5,4370,8510,2,0,1,3,10,3610,760,2003,12,"98004",2960,10347,31
"12218",1450000,4,3.5,3720,8301,2,0,0,3,10,2880,840,2008,7,"98004",2080,9676,327
"2791",1610000,5,3.75,3530,13260,2,0,0,3,10,3530,0,2013,2,"98040",3340,13260,190
"7939",545000,3,2.25,2290,14585,2,0,0,3,8,2290,0,1981,34,"98075",1660,36961,145
"2120",585000,5,3.5,3180,40946,1,0,3,3,7,1690,1490,1968,47,"98075",2430,29620,234
"3521",570000,4,2,2000,46902,2,0,0,3,8,2000,0,1978,37,"98075",2420,38130,362
"5737",6e+05,3,2.5,2320,52272,1.5,0,0,3,8,2320,0,1974,41,"98075",2200,52272,111
"9510",645000,4,2.25,2720,18295,1,0,0,4,8,2000,720,1979,36,"98075",2720,18295,123
"5102",555000,4,1.75,1760,94525,1.5,0,0,3,7,1760,0,1988,27,"98075",3030,34848,132
"417",563500,4,1.75,2085,174240,1,0,0,3,7,1610,475,1964,51,"98024",2690,174240,55
"7489",441000,2,1.5,1190,3400,1,0,0,3,7,990,200,1919,96,"98115",1410,3150,59
"16818",2574000,4,3.75,4475,20424,2,1,4,3,12,2659,1816,1999,16,"98033",4340,5250,144
"186",1095000,5,3,4090,12850,1,0,2,4,10,2090,2000,1986,29,"98033",2540,10270,203
"2655",9e+05,3,2.75,2980,12600,1.5,0,0,3,8,1590,1390,1941,3,"98033",1520,9660,131
"21461",1020000,4,3.5,3770,8501,2,0,0,3,10,3770,0,2008,7,"98033",1520,9660,60
"10758",850000,5,2.25,3100,97661,2,0,0,3,9,3100,0,1986,29,"98053",2370,53993,326
"3030",770000,3,2.5,2650,40705,2,0,0,3,9,2650,0,1994,21,"98053",2550,42625,48
"2989",590000,3,2.5,3360,218235,1,0,0,3,8,3360,0,1989,26,"98014",2650,220849,215
"20142",785000,3,2.75,2990,207781,2,0,0,3,9,2990,0,2000,15,"98014",2590,218671,369
"10412",379950,2,1,870,7500,1,0,0,3,7,870,0,1947,68,"98136",1240,5709,227
"15676",448500,3,1.75,1300,4800,2,0,1,4,7,1300,0,1912,103,"98136",1300,4800,116
"9140",557510,4,2,1580,4800,1.5,0,2,3,7,1580,0,1912,103,"98136",1580,4800,280
"14507",435000,5,1,2170,65340,1.5,0,0,4,7,1670,500,1930,85,"98011",3170,12884,199
"4425",355000,2,1,1350,368517,1,0,0,3,6,1350,0,1947,68,"98077",2330,104108,180
"5523",458000,4,3,3280,62726,1.5,0,0,3,7,3280,0,1979,36,"98077",3210,73616,224
"743",740000,3,2,2100,72745,1,0,0,4,9,2100,0,1995,20,"98077",2290,54885,189
"2825",460000,3,2.25,2080,50965,1,0,0,3,8,1590,490,1979,36,"98077",2270,51836,124
"5454",483000,3,2.25,2100,43560,1,0,0,4,8,1330,770,1977,38,"98077",2100,43560,339
"16992",440000,4,2.75,2030,56192,1,0,0,3,8,1550,480,1979,36,"98077",2510,44866,172
"19200",535000,3,2.5,1960,47044,2,0,0,4,8,1960,0,1978,37,"98077",2020,29004,153
"19182",5e+05,3,2.25,2990,216057,2,0,0,3,9,2990,0,1994,21,"98019",2840,215622,104
"763",330000,3,2,1400,218252,1,0,0,3,7,1400,0,1997,18,"98019",2230,218222,326
"8076",308000,4,2.5,2330,4606,2,0,0,3,8,2330,0,2004,11,"98031",2330,5783,73
"11271",311000,5,3,2020,5917,1,0,0,3,7,1220,800,1993,22,"98108",2130,5529,160
"21286",319000,2,1.5,1090,847,3,0,0,3,8,1090,0,2009,6,"98133",1090,1118,354
"19693",325000,3,1.5,1270,1067,3,0,0,3,8,1270,0,2009,6,"98133",1090,1118,154
"19854",318000,3,1.5,1240,983,3,0,0,3,8,1240,0,2009,6,"98133",1240,1026,287
"19647",348000,3,2.5,1490,2478,3,0,0,3,8,1490,0,2009,6,"98133",1270,1156,283
"2525",175000,2,1,1020,5130,1,0,0,4,6,1020,0,1948,67,"98002",1200,6497,49
"8859",2e+05,4,1.5,1780,8000,2,0,0,4,6,1080,700,1900,19,"98010",1750,9147,299
"16316",267000,3,2.5,1690,10336,2,0,0,4,7,1690,0,1989,26,"98010",1580,7700,285
"19140",335000,4,1.5,3160,19745,1.5,0,0,4,6,1840,1320,1968,47,"98010",1540,8611,305
"5237",199999,3,1,960,10815,1,0,0,5,5,960,0,1900,115,"98010",1330,10815,235
"21603",224000,3,1.75,1500,11968,1,0,0,3,6,1500,0,2014,1,"98010",1320,11303,55
"12037",365000,4,2.5,1904,8200,2,0,0,5,7,1904,0,1999,16,"98010",1560,12426,271
"3305",206000,3,1,1050,5233,1,0,0,5,5,1050,0,1906,109,"98010",970,7500,179
"19286",208500,2,1,880,4814,1,0,0,4,5,880,0,1906,109,"98010",1010,6160,328
"8250",320900,5,2.5,2200,8500,1,0,0,4,7,1400,800,1971,44,"98010",1360,8855,362
"20503",515000,4,2.5,2670,8765,2,0,0,3,9,2670,0,2006,9,"98059",2880,8765,18
"20713",6e+05,4,2.75,3110,11225,2,0,0,3,8,3110,0,2012,3,"98059",2610,8535,349
"21488",579000,4,2.75,3220,9825,2,0,0,3,8,3220,0,2012,3,"98059",2820,8566,138
"6430",330000,3,1.75,1850,14986,2,0,0,3,6,1850,0,1943,10,"98059",2660,10650,108
"4550",197500,3,1,1330,5412,2,0,0,5,7,1330,0,1905,110,"98022",1710,10825,48
"7036",3800000,5,5.5,7050,42840,1,0,2,4,13,4320,2730,1978,37,"98004",5070,20570,60
"12714",2408000,5,2.5,4600,23250,1.5,0,2,3,9,3600,1000,1918,12,"98004",5500,20066,361
"1307",847000,6,2.5,3010,17864,2,0,0,3,8,3010,0,1969,46,"98177",2560,11532,327
"5932",840000,4,3.5,3840,85728,2,0,0,3,11,3840,0,1998,17,"98014",2430,42643,69
"9254",1680000,4,4.25,5584,68257,2,0,0,3,11,5584,0,1998,17,"98014",5030,101901,22
"10952",1610000,5,4.5,6085,142725,3,0,0,3,11,6085,0,2000,15,"98014",4830,128457,118
"7666",285000,3,1.5,1400,7582,1,0,0,3,7,1400,0,1956,59,"98148",1280,7872,250
"5501",482000,4,2.25,2240,8322,2,0,0,3,8,2240,0,1979,36,"98034",2240,6448,299
"20011",2700000,5,4.75,5305,8401,2,0,2,3,11,3745,1560,2005,10,"98033",2960,7200,19
"6847",765000,3,1,1270,6500,1,0,0,4,7,1270,0,1956,59,"98033",2260,7200,277
"20248",2225000,4,4.25,4700,10800,2,0,1,3,11,3910,790,2002,13,"98033",2370,7680,325
"19298",1430800,4,2.5,2910,7364,2,0,0,3,10,2910,0,2003,12,"98033",2480,8400,188
"17691",1364000,4,2.5,3560,8960,2,0,0,3,10,3560,0,2001,14,"98033",1660,7680,297
"17955",342000,3,2.5,1740,2226,2,0,0,3,8,1320,420,2008,7,"98106",1740,1789,104
"17458",330000,3,2.5,1740,1844,2,0,0,3,8,1320,420,2008,7,"98106",1740,1789,109
"4652",125000,1,1,500,7440,1,0,0,1,5,500,0,1928,87,"98106",1350,7440,153
"2783",375000,4,2,1720,2410,1,0,0,3,7,970,750,1930,9,"98106",1160,1404,215
"6378",8e+05,6,1,1430,20620,2,0,0,3,7,1430,0,1954,61,"98004",2450,10080,280
"1013",9e+05,4,2.25,2460,44431,1,0,0,4,9,2460,0,1957,58,"98007",2830,44431,41
"13824",540000,5,3,2570,5590,1,0,0,3,8,1580,990,2009,6,"98034",2020,10500,164
"17856",849000,4,1.5,2440,8040,1,0,0,4,8,1440,1000,1950,65,"98177",2140,7920,152
"16800",554000,4,1,1120,7104,1.5,0,0,3,7,1120,0,1946,69,"98177",1370,7104,46
"16746",643500,3,2,1650,7104,2,0,0,3,8,1650,0,1945,29,"98177",1730,7104,126
"14146",645000,3,1.75,2270,11472,1,0,0,4,7,1370,900,1956,59,"98177",2270,8340,61
"11058",998800,3,2,2250,8000,1,0,2,4,9,2250,0,1955,60,"98177",2880,10960,109
"3481",1225000,4,2.5,2600,11542,1.5,0,0,4,9,2200,400,1939,76,"98177",2840,10960,243
"19382",950000,3,2.5,3480,7800,1,0,0,4,7,1750,1730,1941,17,"98177",3010,9918,67
"4414",1150000,4,2.25,3740,18000,1,0,0,4,9,1870,1870,1951,64,"98177",2610,10902,136
"3216",650000,3,1.75,1660,10819,1,0,0,4,7,1240,420,1942,73,"98177",3110,11853,180
"4960",1e+06,4,3.5,3180,12528,2,0,1,4,9,2060,1120,1979,36,"98177",2850,11410,307
"17329",2225000,3,3,3450,16740,1,0,4,4,9,1960,1490,1949,22,"98177",3220,12528,270
"4758",1465000,3,1.5,2480,9900,2,0,3,3,10,2130,350,1940,75,"98177",2860,9288,280
"9548",1300000,3,1,2040,7936,1,0,3,5,8,1680,360,1940,75,"98177",2300,10080,318
"10099",1326000,3,2.25,2960,8330,1,0,3,4,10,2260,700,1953,62,"98177",2960,8840,299
"10242",899000,4,2.25,2370,6000,1,0,2,3,8,1440,930,1959,56,"98177",3280,8843,48
"7136",1430000,3,2.75,2710,9204,1.5,0,4,3,9,1480,1230,1975,40,"98177",2960,10080,306
"16979",316000,3,2.5,1490,4078,2,0,0,3,8,1490,0,1998,17,"98059",1310,2767,263
"11415",315000,3,2.5,1260,2767,2,0,0,3,8,1260,0,1999,16,"98059",1310,2767,88
"10478",292000,3,2.5,1560,2740,2,0,0,3,8,1560,0,1999,16,"98059",1310,2698,101
"1407",3e+05,3,2.5,1260,3855,2,0,0,3,8,1260,0,1999,16,"98059",1310,3344,96
"12324",330000,2,2.5,1310,2915,2,0,0,3,8,1310,0,1999,16,"98059",1310,3425,362
"1881",350000,3,2.5,1630,3425,2,0,0,3,8,1630,0,1999,16,"98059",1420,3425,343
"18785",419000,2,1,720,4592,1,0,0,4,6,720,0,1943,72,"98199",1030,5816,202
"19096",665000,3,1,1650,5102,1,0,0,4,8,1300,350,1953,62,"98199",1440,5102,223
"15860",535000,2,2,1370,3827,1,0,0,3,7,1020,350,1952,63,"98199",1550,5102,214
"10835",812000,4,2,2380,6122,1,0,2,4,8,1310,1070,1949,66,"98199",1810,5202,372
"12545",567500,2,1.5,1350,4592,1,0,0,3,7,1070,280,1939,76,"98199",1610,5102,217
"13470",652000,3,1,1470,6122,1,0,0,3,8,1200,270,1948,67,"98199",2200,6122,272
"4094",845000,4,2.75,3160,7143,1.5,0,0,3,8,2100,1060,1933,82,"98199",2200,6122,173
"6908",655000,3,1.75,1800,5102,1,0,0,3,7,1170,630,1952,63,"98199",1720,5102,293
"14580",719000,3,1.75,1800,5816,1,0,0,5,7,900,900,1947,68,"98199",1650,5816,258
"3452",735000,4,2.25,2270,5102,1,0,0,5,8,1340,930,1954,61,"98199",1800,5102,52
"5844",616000,4,1.75,1700,5846,1,0,0,3,8,1700,0,1957,58,"98199",1480,5177,60
"4804",650000,4,2.25,1910,5120,1,0,0,3,8,1300,610,1954,61,"98199",1810,5153,132
"15652",910000,3,3.5,3020,4082,2,0,0,3,9,2080,940,1954,11,"98199",2060,5102,4
"11793",256000,4,2.5,2050,5787,2,0,0,3,7,2050,0,2002,13,"98198",2030,6615,61
"17054",168000,2,2.5,1160,2174,2,0,0,3,7,1160,0,1998,17,"98106",1380,1919,20
"895",209000,3,2,1230,1340,2,0,0,3,7,1020,210,2003,12,"98106",1260,1312,101
"21551",249000,3,2,1260,1125,2,0,0,3,7,810,450,2011,4,"98106",1260,1172,88
"9094",320000,3,2.5,1610,1356,2,0,0,3,8,1240,370,2007,8,"98106",1270,1314,225
"21071",255000,3,1.75,1260,1133,2,0,0,3,7,810,450,2011,4,"98106",1260,1172,111
"9590",275000,2,2,1290,9041,1,0,0,3,7,950,340,1956,59,"98108",1290,5000,222
"20396",395000,2,1,700,7457,1,0,0,3,6,700,0,1943,72,"98108",1500,7130,304
"20082",599000,3,1.75,1650,1180,3,0,0,3,8,1650,0,2014,1,"98105",1650,1960,185
"19762",645000,3,2.25,1640,1023,3,0,0,3,8,1640,0,2014,1,"98105",1720,1960,318
"21535",599000,3,1.75,1650,1180,3,0,0,3,8,1650,0,2014,1,"98105",1720,1960,101
"8623",114975,2,1,740,6250,1,0,0,3,6,740,0,1942,73,"98146",980,6957,69
"2044",219950,3,1,1200,7727,1,0,0,4,7,1200,0,1959,56,"98022",1300,7718,335
"8367",262500,3,1.5,1610,10291,1,0,0,4,7,1610,0,1961,54,"98022",1410,7729,152
"12426",1289000,3,2.5,2190,11394,1,0,0,3,8,1550,640,1956,59,"98199",2190,9540,52
"15087",360000,5,2.5,2880,6902,1,0,0,3,8,1680,1200,1976,8,"98058",2080,5586,224
"2108",272000,4,2.5,1870,5692,2,0,0,3,7,1870,0,2004,11,"98058",2390,5293,199
"15134",245500,2,1,790,7500,1,0,0,3,6,790,0,1950,65,"98011",1970,8970,96
"4256",1300000,6,4.5,3902,3880,3,0,4,4,9,2782,1120,1977,38,"98116",1100,3870,34
"1735",252000,1,1,680,1638,1,0,4,1,6,680,0,1910,23,"98116",1010,3621,245
"8901",452000,4,1,1210,3760,1.5,0,0,3,6,1210,0,1900,115,"98103",1540,3800,18
"18322",243950,2,1,1120,35500,1,0,0,5,6,1120,0,1961,54,"98022",1680,66022,354
"11957",201000,3,1,960,15273,1,0,0,4,7,960,0,1963,52,"98022",1930,51400,138
"14482",645000,3,2.25,3280,79279,1,0,0,3,10,3280,0,2001,14,"98003",1860,24008,213
"136",199000,3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,59,"98003",1550,19265,103
"5089",350000,3,2,1680,81893,1,0,0,3,7,1680,0,1991,24,"98092",2480,38637,103
"14505",320000,4,1.5,1890,43560,1,0,0,4,8,1890,0,1974,41,"98092",2376,5820,52
"10674",216000,3,1.75,1310,8670,1,0,0,4,6,1310,0,1984,31,"98092",2622,7191,103
"649",157000,1,1,870,26326,1,0,0,3,6,870,0,1939,76,"98198",1250,10608,200
"12536",242025,4,1.75,1400,54014,1.5,0,0,4,7,1400,0,1935,80,"98031",1910,8523,75
"14271",365000,3,2,2140,26600,1,0,0,4,7,2140,0,1983,32,"98031",2310,8783,143
"7281",8e+05,6,4.25,5480,189050,2,0,0,4,10,5140,340,1991,24,"98031",2470,10429,213
"1377",260000,2,1,1550,15250,1.5,0,0,5,7,1550,0,1920,95,"98038",1520,34929,347
"15535",503000,3,2,2590,108900,2,0,0,3,8,1980,610,1988,27,"98038",3170,108900,27
"17097",525000,3,1,1560,8100,1,0,0,4,8,1140,420,1952,63,"98177",2130,8100,328
"19541",588000,3,1.75,2310,7620,2,0,0,3,8,2310,0,1942,27,"98177",2200,7672,180
"14299",515000,3,1.5,2200,7620,1,0,0,4,7,1130,1070,1942,73,"98177",2170,7672,341
"3388",350000,2,1,1430,8157,1.5,0,0,3,7,1150,280,1944,71,"98177",1820,8157,96
"10534",405000,2,1,1020,8155,1,0,0,4,7,1020,0,1948,67,"98177",1430,8157,6
